
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,stick |   ailrn,stick |   ruddr,stick |   sweep,1,deg |   sweep,2,deg |   sweep,h,deg |   _vect,ratio |   sweep,ratio |   incid,ratio |   dihed,ratio |   retra,ratio |   _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   _trim,_elev |   _trim,ailrn |   _trim,ruddr |   _flap,handl |   _flap,postn |   _slat,ratio |   sbrak,handl |   sbrak,postn |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   thro1,_part |   power,_1,hp |   thrst,_1,lb |   rpm_1,engin |   rpm_1,_prop |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   wing1,_lift |   wing1,_lift |   wing2,_lift |   wing2,_lift |   wing3,_lift |   wing3,_lift |   wing1,_drag |   wing1,_drag |   wing2,_drag |   wing2,_drag |   wing3,_drag |   wing3,_drag | 
     89.36893 |      50.19411 |      50.19411 |       0.00000 |       9.48394 |      10.48394 |       7.64771 |     -17.85035 |       2.80297 |       2.80481 |       0.00259 |     -20.54181 |       3.22771 |       0.00298 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00182 |       0.00800 |       0.00503 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.42828 |      -0.04116 |     195.72662 |     194.53185 |       0.24965 |      32.81813 |     204.50920 |       1.00596 |       0.04231 |      41.90199 |       2.76546 |     428.78635 |       0.28267 |       1.00000 |     448.57190 |      41.50000 |       3.00000 |       0.50222 |      46.48592 |     338.93536 |    1646.31396 |    1646.31396 |    1721.00000 |     125.55000 |     164.92891 |       0.00000 |    2011.47888 |    2558.00024 |       0.00000 |      25.79315 |      -9.68658 |       0.37977 |       0.19468 |       3.38769 |      -4.55765 |       1.83196 |       0.35001 |       0.00899 |       0.00460 |       0.09631 |       0.12452 | 
     94.36877 |      55.19394 |      55.19394 |       0.00000 |       9.48533 |      10.48533 |       7.64910 |     -18.03046 |       2.80023 |       2.80207 |       0.00065 |     -20.74908 |       3.22457 |       0.00075 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00117 |       0.00800 |       0.00501 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.38082 |      -0.04560 |     195.72319 |     194.52841 |       0.30935 |      36.33397 |       9.63271 |      -0.53218 |       0.04531 |      41.90199 |       2.76546 |     428.78549 |       0.28180 |       1.00000 |     448.57126 |      41.50000 |       3.00000 |       0.50222 |      46.48389 |     340.60406 |    1645.90857 |    1645.90857 |    1721.00000 |     125.55000 |     164.88081 |       0.00000 |    2011.43091 |    2558.00024 |       0.00000 |      24.80947 |      -9.25503 |       0.36175 |       0.16936 |       3.34804 |      -4.61980 |       1.80224 |       0.33480 |       0.00889 |       0.00412 |       0.09744 |       0.12954 | 
     99.36961 |      60.19478 |      60.19478 |       0.00000 |       9.48672 |      10.48672 |       7.65049 |     -17.44959 |       2.80203 |       2.80387 |       0.00210 |     -20.08064 |       3.22664 |       0.00241 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00161 |       0.00803 |       0.00491 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.34281 |      -0.04874 |     195.78972 |     194.59494 |       0.21227 |      -3.41815 |     146.82094 |       0.19119 |       0.04282 |      41.90199 |       2.76546 |     428.78543 |       0.28172 |       1.00000 |     448.57126 |      41.50000 |       3.00000 |       0.50222 |      46.51927 |     337.15909 |    1647.83643 |    1647.83643 |    1721.00000 |     125.55000 |     164.83270 |       0.00000 |    2011.38269 |    2558.00024 |       0.00000 |      36.63110 |     -10.62679 |       0.41017 |       0.41253 |       3.21784 |      -3.06660 |       2.29690 |       0.38312 |       0.00854 |       0.00856 |       0.07684 |       0.07006 | 
    104.36872 |      65.19389 |      65.19389 |       0.00000 |       9.48811 |      10.48811 |       7.65188 |     -17.48662 |       2.80059 |       2.80243 |       0.00077 |     -20.12324 |       3.22498 |       0.00089 |       0.00163 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00135 |       0.00802 |       0.00497 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.30473 |      -0.06259 |     195.84132 |     194.64655 |       0.25773 |     -16.68675 |     117.41087 |      -0.25732 |       0.05864 |      41.90199 |       2.76546 |     428.78510 |       0.28138 |       1.00000 |     448.57059 |      41.50000 |       3.00000 |       0.50222 |      46.51683 |     337.35278 |    1647.72095 |    1647.72095 |    1721.00000 |     125.55000 |     164.78459 |       0.00000 |    2011.33459 |    2558.00024 |       0.00000 |      40.02222 |      -9.98832 |       0.33351 |       0.42724 |       2.96493 |      -2.50511 |       2.55147 |       0.36510 |       0.00711 |       0.00912 |       0.07185 |       0.05770 | 
    109.36939 |      70.19457 |      70.19457 |       0.00000 |       9.48950 |      10.48950 |       7.65326 |     -17.55052 |       2.79915 |       2.80099 |       0.00178 |     -20.19678 |       3.22332 |       0.00204 |       0.00271 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00231 |       0.00799 |       0.00500 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.30792 |      -0.06563 |     195.85527 |     194.66049 |       0.25111 |     -19.74013 |       6.55641 |      -0.30440 |       0.06494 |      41.90199 |       2.76546 |     428.78522 |       0.28150 |       1.00000 |     448.57104 |      41.50000 |       3.00000 |       0.50222 |      46.52133 |     333.13290 |    1648.02051 |    1648.02051 |    1721.00000 |     125.55000 |     164.73650 |       0.00000 |    2011.28650 |    2558.00024 |       0.00000 |      41.03995 |     -10.11133 |       0.30622 |       0.42429 |       2.94711 |      -2.42142 |       2.66045 |       0.37713 |       0.00662 |       0.00917 |       0.07263 |       0.05662 | 
    114.36855 |      75.19373 |      75.19373 |       0.00000 |       9.49089 |      10.49089 |       7.65465 |     -17.55062 |       2.80260 |       2.80444 |       0.00212 |     -20.19689 |       3.22729 |       0.00244 |       0.00271 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00270 |       0.00801 |       0.00500 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.30740 |      -0.06400 |     195.85431 |     194.65953 |       0.24501 |     -20.11348 |     189.79185 |       0.30180 |       0.06442 |      41.90199 |       2.76546 |     428.78525 |       0.28151 |       1.00000 |     448.57086 |      41.50000 |       3.00000 |       0.50222 |      46.53678 |     335.89600 |    1648.82922 |    1648.82922 |    1721.00000 |     125.55000 |     164.68839 |       0.00000 |    2011.23840 |    2558.00024 |       0.00000 |      41.10220 |     -10.03664 |       0.30589 |       0.42176 |       2.93248 |      -2.39769 |       2.66340 |       0.37367 |       0.00662 |       0.00912 |       0.07228 |       0.05608 | 
    119.37191 |      80.19708 |      80.19708 |       0.00000 |       9.49228 |      10.49228 |       7.65604 |     -17.51437 |       2.80784 |       2.80968 |       0.00736 |     -20.15518 |       3.23333 |       0.00847 |       0.00271 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00343 |       0.00801 |       0.00503 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.32047 |      -0.06341 |     195.83554 |     194.64076 |       0.23955 |     -12.60962 |     195.91638 |       1.58718 |       0.06438 |      41.90199 |       2.76546 |     428.78519 |       0.28147 |       1.00000 |     448.57074 |      41.50000 |       3.00000 |       0.50222 |      46.49180 |     342.30344 |    1646.28406 |    1646.28406 |    1721.00000 |     125.55000 |     164.64029 |       0.00000 |    2011.19031 |    2558.00024 |       0.00000 |      38.64127 |      -9.82116 |       0.36028 |       0.43307 |       2.98390 |      -2.61614 |       2.41423 |       0.35142 |       0.00760 |       0.00912 |       0.07098 |       0.05929 | 
    124.36821 |      85.19338 |      85.19338 |       0.00000 |       9.49366 |      10.49366 |       7.65743 |     -17.52819 |       2.79571 |       2.79754 |       0.00542 |     -20.17108 |       3.21936 |       0.00624 |       0.00271 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00169 |       0.00800 |       0.00498 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.31385 |      -0.06731 |     195.86095 |     194.66617 |       0.25353 |     -22.04754 |      17.38084 |      -2.10995 |       0.06180 |      41.90199 |       2.76546 |     428.78531 |       0.28160 |       1.00000 |     448.57062 |      41.50000 |       3.00000 |       0.50222 |      46.52336 |     334.34171 |    1648.12024 |    1648.12024 |    1721.00000 |     125.55000 |     164.59218 |       0.00000 |    2011.14221 |    2558.00024 |       0.00000 |      40.98722 |      -9.88044 |       0.28885 |       0.41576 |       2.88619 |      -2.31692 |       2.66722 |       0.36857 |       0.00630 |       0.00908 |       0.07146 |       0.05458 | 
    129.36824 |      90.19342 |      90.19342 |       0.00000 |       9.49505 |      10.49505 |       7.65882 |     -17.76147 |       2.79962 |       2.80146 |       0.00103 |     -20.43954 |       3.22386 |       0.00119 |       0.00271 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00229 |       0.00800 |       0.00499 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.28711 |      -0.07945 |     195.88785 |     194.69307 |       0.26070 |     -28.61475 |      17.33625 |      -0.36003 |       0.07507 |      41.90199 |       2.76546 |     428.78473 |       0.28098 |       1.00000 |     448.57031 |      41.50000 |       3.00000 |       0.50222 |      46.49660 |     339.74414 |    1646.58789 |    1646.58789 |    1721.00000 |     125.55000 |     164.54407 |       0.00000 |    2011.09399 |    2558.00024 |       0.00000 |      40.36739 |      -9.17938 |       0.23729 |       0.39289 |       2.70974 |      -2.03467 |       2.66977 |       0.34780 |       0.00538 |       0.00892 |       0.06739 |       0.04891 | 
    134.36794 |      95.19312 |      95.19312 |       0.00000 |       9.49644 |      10.49644 |       7.66021 |     -17.41016 |       2.80017 |       2.80201 |       0.00084 |     -20.03525 |       3.22450 |       0.00096 |       0.00271 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00231 |       0.00801 |       0.00495 |       0.00000 |       0.07000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.32797 |      -0.05377 |     195.80411 |     194.60933 |       0.25752 |      -6.85250 |      69.34660 |      -0.67134 |       0.06127 |      41.90199 |       2.76546 |     428.78531 |       0.28159 |       1.00000 |     448.57071 |      41.50000 |       3.00000 |       0.50222 |      46.49820 |     334.74454 |    1646.72498 |    1646.72498 |    1721.00000 |     125.55000 |     164.49597 |       0.00000 |    2011.04602 |    2558.00024 |       0.00000 |      37.38698 |     -10.56199 |       0.39453 |       0.42710 |       3.16063 |      -2.93302 |       2.35360 |       0.38331 |       0.00824 |       0.00890 |       0.07567 |       0.06701 | 
